municipality,year,crime_count
Copenhagen,2024,21512
Frederiksberg,2024,2064
Dragør,2024,140
Tårnby,2024,1737
Albertslund,2024,612
Ballerup,2024,950
Brøndby,2024,815
Gentofte,2024,1232
Gladsaxe,2024,1197
Glostrup,2024,616
Herlev,2024,624
Hvidovre,2024,902
Høje-Taastrup,2024,975
Ishøj,2024,449
Lyngby-Taarbæk,2024,1034
Rødovre,2024,870
Vallensbæk,2024,196
Allerød,2024,334
Egedal,2024,424
Fredensborg,2024,495
Frederikssund,2024,562
Furesø,2024,546
Gribskov,2024,588
Halsnæs,2024,358
Helsingør,2024,1089
Hillerød,2024,849
Hørsholm,2024,358
Rudersdal,2024,781
Bornholm,2024,394
Greve,2024,691
Køge,2024,895
Lejre,2024,259
Roskilde,2024,1556
Solrød,2024,266
Faxe,2024,402
Guldborgsund,2024,881
Holbæk,2024,950
Kalundborg,2024,663
Lolland,2024,767
Næstved,2024,1254
Odsherred,2024,481
Ringsted,2024,505
Slagelse,2024,1362
Sorø,2024,366
Stevns,2024,210
Vordingborg,2024,514
Copenhagen,2023,21994
Frederiksberg,2023,1920
Dragør,2023,142
Tårnby,2023,1632
Albertslund,2023,604
Ballerup,2023,989
Brøndby,2023,764
Gentofte,2023,1210
Gladsaxe,2023,1282
Glostrup,2023,630
Herlev,2023,591
Hvidovre,2023,917
Høje-Taastrup,2023,1004
Ishøj,2023,455
Lyngby-Taarbæk,2023,1060
Rødovre,2023,820
Vallensbæk,2023,210
Allerød,2023,358
Egedal,2023,457
Fredensborg,2023,576
Frederikssund,2023,606
Furesø,2023,574
Gribskov,2023,634
Halsnæs,2023,424
Helsingør,2023,1210
Hillerød,2023,915
Hørsholm,2023,466
Rudersdal,2023,823
Bornholm,2023,412
Greve,2023,709
Køge,2023,988
Lejre,2023,271
Roskilde,2023,1524
Solrød,2023,264
Faxe,2023,380
Guldborgsund,2023,933
Holbæk,2023,964
Kalundborg,2023,618
Lolland,2023,710
Næstved,2023,1116
Odsherred,2023,536
Ringsted,2023,523
Slagelse,2023,1374
Sorø,2023,394
Stevns,2023,230
Vordingborg,2023,573
Copenhagen,2022,20304
Frederiksberg,2022,1950
Dragør,2022,124
Tårnby,2022,1440
Albertslund,2022,621
Ballerup,2022,890
Brøndby,2022,765
Gentofte,2022,1171
Gladsaxe,2022,1113
Glostrup,2022,551
Herlev,2022,542
Hvidovre,2022,952
Høje-Taastrup,2022,1047
Ishøj,2022,447
Lyngby-Taarbæk,2022,977
Rødovre,2022,836
Vallensbæk,2022,194
Allerød,2022,424
Egedal,2022,452
Fredensborg,2022,448
Frederikssund,2022,617
Furesø,2022,506
Gribskov,2022,625
Halsnæs,2022,430
Helsingør,2022,1239
Hillerød,2022,944
Hørsholm,2022,541
Rudersdal,2022,733
Bornholm,2022,435
Greve,2022,796
Køge,2022,852
Lejre,2022,284
Roskilde,2022,1476
Solrød,2022,276
Faxe,2022,458
Guldborgsund,2022,936
Holbæk,2022,884
Kalundborg,2022,687
Lolland,2022,814
Næstved,2022,1230
Odsherred,2022,554
Ringsted,2022,487
Slagelse,2022,1258
Sorø,2022,310
Stevns,2022,221
Vordingborg,2022,724
Copenhagen,2021,17542
Frederiksberg,2021,1690
Dragør,2021,127
Tårnby,2021,1040
Albertslund,2021,504
Ballerup,2021,818
Brøndby,2021,696
Gentofte,2021,1056
Gladsaxe,2021,825
Glostrup,2021,497
Herlev,2021,578
Hvidovre,2021,870
Høje-Taastrup,2021,906
Ishøj,2021,402
Lyngby-Taarbæk,2021,792
Rødovre,2021,690
Vallensbæk,2021,162
Allerød,2021,245
Egedal,2021,358
Fredensborg,2021,397
Frederikssund,2021,596
Furesø,2021,412
Gribskov,2021,519
Halsnæs,2021,404
Helsingør,2021,978
Hillerød,2021,805
Hørsholm,2021,369
Rudersdal,2021,644
Bornholm,2021,402
Greve,2021,659
Køge,2021,813
Lejre,2021,258
Roskilde,2021,1167
Solrød,2021,237
Faxe,2021,343
Guldborgsund,2021,840
Holbæk,2021,831
Kalundborg,2021,584
Lolland,2021,1308
Næstved,2021,994
Odsherred,2021,391
Ringsted,2021,492
Slagelse,2021,1064
Sorø,2021,322
Stevns,2021,200
Vordingborg,2021,577
Copenhagen,2020,18938
Frederiksberg,2020,1791
Dragør,2020,147
Tårnby,2020,1164
Albertslund,2020,843
Ballerup,2020,862
Brøndby,2020,628
Gentofte,2020,1077
Gladsaxe,2020,1022
Glostrup,2020,557
Herlev,2020,733
Hvidovre,2020,1102
Høje-Taastrup,2020,1021
Ishøj,2020,490
Lyngby-Taarbæk,2020,836
Rødovre,2020,781
Vallensbæk,2020,189
Allerød,2020,270
Egedal,2020,362
Fredensborg,2020,402
Frederikssund,2020,618
Furesø,2020,415
Gribskov,2020,536
Halsnæs,2020,442
Helsingør,2020,1030
Hillerød,2020,742
Hørsholm,2020,656
Rudersdal,2020,746
Bornholm,2020,358
Greve,2020,754
Køge,2020,890
Lejre,2020,212
Roskilde,2020,1182
Solrød,2020,244
Faxe,2020,407
Guldborgsund,2020,927
Holbæk,2020,1211
Kalundborg,2020,544
Lolland,2020,739
Næstved,2020,1351
Odsherred,2020,512
Ringsted,2020,498
Slagelse,2020,1465
Sorø,2020,342
Stevns,2020,187
Vordingborg,2020,553
Copenhagen,2019,23462
Frederiksberg,2019,1804
Dragør,2019,165
Tårnby,2019,1844
Albertslund,2019,652
Ballerup,2019,978
Brøndby,2019,758
Gentofte,2019,1376
Gladsaxe,2019,1084
Glostrup,2019,607
Herlev,2019,718
Hvidovre,2019,1023
Høje-Taastrup,2019,1132
Ishøj,2019,512
Lyngby-Taarbæk,2019,1069
Rødovre,2019,820
Vallensbæk,2019,239
Allerød,2019,444
Egedal,2019,384
Fredensborg,2019,437
Frederikssund,2019,700
Furesø,2019,496
Gribskov,2019,641
Halsnæs,2019,493
Helsingør,2019,1150
Hillerød,2019,848
Hørsholm,2019,533
Rudersdal,2019,917
Bornholm,2019,422
Greve,2019,828
Køge,2019,925
Lejre,2019,260
Roskilde,2019,1658
Solrød,2019,290
Faxe,2019,424
Guldborgsund,2019,1217
Holbæk,2019,1035
Kalundborg,2019,657
Lolland,2019,1176
Næstved,2019,1231
Odsherred,2019,548
Ringsted,2019,497
Slagelse,2019,1553
Sorø,2019,405
Stevns,2019,188
Vordingborg,2019,672
Copenhagen,2018,22290
Frederiksberg,2018,1808
Dragør,2018,127
Tårnby,2018,1962
Albertslund,2018,627
Ballerup,2018,922
Brøndby,2018,916
