municipality;year;non_danish_population;danish_population;crime_count;total_population;non_danish_ratio;crime_rate_per_1000
Albertslund;2014;6190;20174;2779;26364;0.23478986496737975;105.4088909118495
Albertslund;2015;6214;20142;2584;26356;0.23577174078008803;98.04219153134011
Albertslund;2016;6231;20180;2767;26411;0.2359244254287986;104.76695316345462
Albertslund;2017;6341;20011;2538;26352;0.24062689738919246;96.31147540983606
Albertslund;2018;6416;19848;2507;26264;0.2442887602802315;95.45385318306428
Albertslund;2019;6545;19663;2607;26208;0.24973290598290598;99.47344322344321
Albertslund;2020;6600;19438;3373;26038;0.2534756893770643;129.54143943467238
Albertslund;2021;6619;19072;2017;25691;0.2576388618582383;78.50998404110389
Albertslund;2022;6861;18887;2483;25748;0.2664672984309461;96.43467453782819
Albertslund;2023;6981;18594;2418;25575;0.27296187683284456;94.54545454545455
Albertslund;2024;7138;18504;2448;25642;0.2783714218859683;95.46837220185634
Allerød;2014;1158;22509;6049;23667;0.04892888832551654;255.58794946550051
Allerød;2015;1277;22630;4943;23907;0.05341531768937968;206.7595264985151
Allerød;2016;1441;22711;5094;24152;0.0596637959589268;210.91421000331235
Allerød;2017;1524;22842;2219;24366;0.0625461708938685;91.06952310596733
Allerød;2018;1594;23001;3597;24595;0.0648099207155926;146.24923764992883
Allerød;2019;1597;23273;1775;24870;0.06421391234418979;71.37112987535183
Allerød;2020;1617;23226;1078;24843;0.0650887573964497;43.39250493096647
Allerød;2021;1663;23324;979;24987;0.06655460839636611;39.180373794373075
Allerød;2022;1697;23254;1697;24951;0.06801330607991664;68.01330607991663
Allerød;2023;1724;23176;1431;24900;0.06923694779116465;57.46987951807229
Allerød;2024;1745;23126;1334;24871;0.07016203610630856;53.63676571106912
Ballerup;2014;5062;41510;4420;46572;0.10869191789057803;94.90681095937472
Ballerup;2015;5103;41237;4247;46340;0.11012084592145015;91.64868364264134
Ballerup;2016;5171;41028;4127;46199;0.11192882962834694;89.33093789908872
Ballerup;2017;5293;40747;4165;46040;0.11496524761077324;90.4648132059079
Ballerup;2018;5511;40492;3688;46003;0.11979653500858639;80.16868465100102
Ballerup;2019;5737;40247;3910;45984;0.1247607863604732;85.02957550452331
Ballerup;2020;5951;40299;3446;46250;0.12867027027027028;74.5081081081081
Ballerup;2021;6221;40259;3271;46480;0.13384251290877797;70.37435456110155
Ballerup;2022;6590;39913;3562;46503;0.14171128744382083;76.5972087822291
Ballerup;2023;7003;39897;3956;46900;0.149317697228145;84.3496801705757
Ballerup;2024;7689;40256;3799;47945;0.16037125873396602;79.23662529982272
Bornholm;2014;1171;38118;1860;39289;0.029804779963857567;47.341495074957365
Bornholm;2015;1289;37616;1779;38905;0.03313198817632695;45.72677033800283
Bornholm;2016;1417;37312;1718;38729;0.036587570037956055;44.35952387100106
Bornholm;2017;1545;37094;1634;38639;0.03998550687129584;42.28887911177826
Bornholm;2018;1608;36920;1559;38528;0.0417358803986711;40.4640780730897
Bornholm;2019;1631;36822;1686;38453;0.04241541622240137;43.84573375289314
Bornholm;2020;1673;36610;1432;38283;0.043700859389285064;37.40563696679988
Bornholm;2021;1737;36610;1608;38347;0.045296894150781024;41.93287610504081
Bornholm;2022;1795;36416;1739;38211;0.04697600167491037;45.51045510455105
Bornholm;2023;1833;36104;1646;37937;0.0483169465165933;43.38772174921581
Bornholm;2024;1852;35724;1574;37576;0.04928677879497552;41.88843942942304
Brøndby;2014;8530;24590;3760;33120;0.25754830917874394;113.52657004830918
Brøndby;2015;8881;24424;3334;33305;0.2666566581594355;100.10508932592704
Brøndby;2016;9195;24247;3733;33442;0.2749536510974224;111.62609891752885
Brøndby;2017;9482;23969;3466;33451;0.2834593883590924;103.61424172670473
Brøndby;2018;9618;23743;3664;33361;0.28830071041035943;109.82884206108929
Brøndby;2019;9573;23484;3031;33057;0.2895907069607042;91.69011102035877
Brøndby;2020;9707;23202;2514;32909;0.2949649032179647;76.39247622231001
Brøndby;2021;10044;23003;2784;33047;0.3039307652737011;84.24365297909038
Brøndby;2022;10389;23020;3059;33409;0.31096411146697;91.5621539106229
Brøndby;2023;11070;23370;3056;34440;0.32142857142857145;88.73403019744482
Brøndby;2024;11845;23590;3259;35435;0.33427402285875546;91.97121490052209
Copenhagen;2014;81723;442064;97983;523787;0.15602334536748716;187.06649840488595
Copenhagen;2015;83971;447214;93883;531185;0.15808240067019966;176.74256614927003
Copenhagen;2016;86248;452154;102763;538402;0.16019256986415356;190.86667582958458
Copenhagen;2017;88487;457630;93446;546117;0.16202938198224923;171.10985374928816
Copenhagen;2018;90616;462470;89159;553086;0.1638370886263619;161.2027785913945
Copenhagen;2019;92440;467174;93849;559614;0.1651852884309542;167.7030953478648
Copenhagen;2020;93323;471616;75750;564939;0.16519128613885747;134.08527292327136
Copenhagen;2021;94301;474182;70167;568483;0.1658818293598929;123.42849302441762
Copenhagen;2022;95894;474284;81216;570178;0.16818256754908117;142.4397293476774
Copenhagen;2023;97113;474858;87978;571971;0.16978658008885067;153.81549064550475
Copenhagen;2024;97830;475076;86047;572906;0.170760997441116;150.19392361050504
Dragør;2014;683;12874;498;13557;0.05037987755403113;36.73379066165081
Dragør;2015;715;12922;591;13637;0.052430886558627265;43.337977561047154
Dragør;2016;769;12992;589;13761;0.05588256667393358;42.80212193881259
Dragør;2017;795;13049;628;13844;0.05742559953770587;45.362611961860736
Dragør;2018;778;13034;509;13812;0.056327830871705765;36.85201274254272
Dragør;2019;789;13142;660;13931;0.0566362788026703;47.37635489196756
